field_position_id,surface,message,field_path,charging_relevance,constraint_ids,scenario_ids
FP-0003,T1,SmPolicyDecision,SmPolicyDecision.sessRules.authDefQos.5qi,DIRECT,T1-R09,T1-A25
FP-0007,T1,SmPolicyDecision,SmPolicyDecision.sessRules.authDefQos.priorityLevel,DEPLOYMENT,T1-R09,T1-A27
FP-0008,T1,SmPolicyDecision,SmPolicyDecision.sessRules.authDefQos.averWindow,DEPLOYMENT,T1-R09,T1-A27
FP-0009,T1,SmPolicyDecision,SmPolicyDecision.sessRules.authDefQos.maxDataBurstVol,DEPLOYMENT,T1-R09,T1-A27
FP-0010,T1,SmPolicyDecision,SmPolicyDecision.sessRules.authDefQos.maxbrUl,DEPLOYMENT,T1-R09,T1-A27
FP-0011,T1,SmPolicyDecision,SmPolicyDecision.sessRules.authDefQos.maxbrDl,DEPLOYMENT,T1-R09,T1-A27
FP-0012,T1,SmPolicyDecision,SmPolicyDecision.sessRules.authDefQos.gbrUl,DEPLOYMENT,T1-R09,T1-A27
FP-0013,T1,SmPolicyDecision,SmPolicyDecision.sessRules.authDefQos.gbrDl,DEPLOYMENT,T1-R09,T1-A27
FP-0014,T1,SmPolicyDecision,SmPolicyDecision.sessRules.authDefQos.extMaxDataBurstVol,DEPLOYMENT,T1-R09,T1-A27
FP-0015,T1,SmPolicyDecision,SmPolicyDecision.sessRules.sessRuleId,RELATIONAL,T1-R01,T1-A01
FP-0016,T1,SmPolicyDecision,SmPolicyDecision.sessRules.refUmData,DIRECT,T1-R03 | T1-R07,T1-A41
FP-0017,T1,SmPolicyDecision,SmPolicyDecision.sessRules.refUmN3gData,DIRECT,T1-R03 | T1-R07,T1-A41
FP-0018,T1,SmPolicyDecision,SmPolicyDecision.sessRules.refCondData,DEPLOYMENT,T1-R06,T1-A28 | T1-A29
FP-0019,T1,SmPolicyDecision,SmPolicyDecision.pccRules.flowInfos.flowDescription,DIRECT,T1-R01 | T1-R04 | T1-R05 | T1-R12,T1-A05 | T1-A06 | T1-A11 | T1-A12
FP-0020,T1,SmPolicyDecision,SmPolicyDecision.pccRules.flowInfos.ethFlowDescription.destMacAddr,DIRECT,T1-R01 | T1-R04 | T1-R05 | T1-R12,T1-A05 | T1-A07 | T1-A11 | T1-A12
FP-0021,T1,SmPolicyDecision,SmPolicyDecision.pccRules.flowInfos.ethFlowDescription.ethType,DIRECT,T1-R01 | T1-R04 | T1-R05 | T1-R12,T1-A05 | T1-A07 | T1-A11 | T1-A12
FP-0022,T1,SmPolicyDecision,SmPolicyDecision.pccRules.flowInfos.ethFlowDescription.fDesc,DIRECT,T1-R01 | T1-R04 | T1-R05 | T1-R12,T1-A05 | T1-A07 | T1-A11 | T1-A12
FP-0023,T1,SmPolicyDecision,SmPolicyDecision.pccRules.flowInfos.ethFlowDescription.fDir,DIRECT,T1-R01 | T1-R04 | T1-R05 | T1-R12,T1-A05 | T1-A07 | T1-A11 | T1-A12
FP-0024,T1,SmPolicyDecision,SmPolicyDecision.pccRules.flowInfos.ethFlowDescription.sourceMacAddr,DIRECT,T1-R01 | T1-R04 | T1-R05 | T1-R12,T1-A05 | T1-A07 | T1-A11 | T1-A12
FP-0025,T1,SmPolicyDecision,SmPolicyDecision.pccRules.flowInfos.ethFlowDescription.vlanTags,DIRECT,T1-R01 | T1-R04 | T1-R05 | T1-R12,T1-A05 | T1-A07 | T1-A11 | T1-A12
FP-0026,T1,SmPolicyDecision,SmPolicyDecision.pccRules.flowInfos.ethFlowDescription.srcMacAddrEnd,DIRECT,T1-R01 | T1-R04 | T1-R05 | T1-R12,T1-A05 | T1-A07 | T1-A11 | T1-A12
FP-0027,T1,SmPolicyDecision,SmPolicyDecision.pccRules.flowInfos.ethFlowDescription.destMacAddrEnd,DIRECT,T1-R01 | T1-R04 | T1-R05 | T1-R12,T1-A05 | T1-A07 | T1-A11 | T1-A12
FP-0028,T1,SmPolicyDecision,SmPolicyDecision.pccRules.flowInfos.packFiltId,DIRECT,T1-R01 | T1-R04 | T1-R05 | T1-R12,T1-A05 | T1-A08 | T1-A11 | T1-A12
FP-0029,T1,SmPolicyDecision,SmPolicyDecision.pccRules.flowInfos.packetFilterUsage,DIRECT,T1-R01 | T1-R04 | T1-R05 | T1-R12,T1-A05 | T1-A08 | T1-A11 | T1-A12
FP-0030,T1,SmPolicyDecision,SmPolicyDecision.pccRules.flowInfos.tosTrafficClass,DIRECT,T1-R01 | T1-R04 | T1-R05 | T1-R12,T1-A05 | T1-A08 | T1-A11 | T1-A12
FP-0031,T1,SmPolicyDecision,SmPolicyDecision.pccRules.flowInfos.spi,DIRECT,T1-R01 | T1-R04 | T1-R05 | T1-R12,T1-A05 | T1-A08 | T1-A11 | T1-A12
FP-0032,T1,SmPolicyDecision,SmPolicyDecision.pccRules.flowInfos.flowLabel,DIRECT,T1-R01 | T1-R04 | T1-R05 | T1-R12,T1-A05 | T1-A08 | T1-A11 | T1-A12
FP-0033,T1,SmPolicyDecision,SmPolicyDecision.pccRules.flowInfos.flowDirection,DIRECT,T1-R01 | T1-R04 | T1-R05 | T1-R12,T1-A05 | T1-A08 | T1-A11 | T1-A12
FP-0034,T1,SmPolicyDecision,SmPolicyDecision.pccRules.appId,DIRECT,T1-R01 | T1-R04 | T1-R05 | T1-R10 | T1-R12,T1-A05 | T1-A10 | T1-A11 | T1-A12
FP-0035,T1,SmPolicyDecision,SmPolicyDecision.pccRules.appDescriptor,DIRECT,T1-R01 | T1-R04 | T1-R10 | T1-R12,T1-A10 | T1-A11 | T1-A12
FP-0036,T1,SmPolicyDecision,SmPolicyDecision.pccRules.contVer,DIRECT,T1-R01 | T1-R04 | T1-R10 | T1-R12,T1-A10 | T1-A11 | T1-A12
FP-0037,T1,SmPolicyDecision,SmPolicyDecision.pccRules.pccRuleId,DIRECT,T1-R01 | T1-R04 | T1-R12,T1-A01 | T1-A11 | T1-A12
FP-0038,T1,SmPolicyDecision,SmPolicyDecision.pccRules.precedence,DIRECT,T1-R01 | T1-R04 | T1-R05 | T1-R12,T1-A05 | T1-A09 | T1-A11 | T1-A12
FP-0039,T1,SmPolicyDecision,SmPolicyDecision.pccRules.afSigProtocol,DIRECT,T1-R01 | T1-R04 | T1-R12,T1-A11 | T1-A12
FP-0040,T1,SmPolicyDecision,SmPolicyDecision.pccRules.appReloc,DIRECT,T1-R01 | T1-R04 | T1-R12,T1-A11 | T1-A12
FP-0041,T1,SmPolicyDecision,SmPolicyDecision.pccRules.easRedisInd,DIRECT,T1-R01 | T1-R04 | T1-R12,T1-A11 | T1-A12
FP-0042,T1,SmPolicyDecision,SmPolicyDecision.pccRules.refQosData,DIRECT,T1-R01 | T1-R02 | T1-R04 | T1-R09 | T1-R12,T1-A02 | T1-A11 | T1-A12
FP-0043,T1,SmPolicyDecision,SmPolicyDecision.pccRules.refAltQosParams,DIRECT,T1-R01 | T1-R02 | T1-R04 | T1-R09 | T1-R12,T1-A02 | T1-A11 | T1-A12
FP-0044,T1,SmPolicyDecision,SmPolicyDecision.pccRules.refTcData,DIRECT,T1-R01 | T1-R04 | T1-R12,T1-A11 | T1-A12
FP-0045,T1,SmPolicyDecision,SmPolicyDecision.pccRules.refChgData,DIRECT,T1-R01 | T1-R02 | T1-R04 | T1-R05 | T1-R12,T1-A03 | T1-A04 | T1-A05 | T1-A11 | T1-A12
FP-0046,T1,SmPolicyDecision,SmPolicyDecision.pccRules.refChgN3gData,DIRECT,T1-R01 | T1-R02 | T1-R04 | T1-R12,T1-A03 | T1-A04 | T1-A11 | T1-A12
FP-0047,T1,SmPolicyDecision,SmPolicyDecision.pccRules.refUmData,DIRECT,T1-R01 | T1-R04 | T1-R12,T1-A11 | T1-A12
FP-0048,T1,SmPolicyDecision,SmPolicyDecision.pccRules.refUmN3gData,DIRECT,T1-R01 | T1-R04 | T1-R12,T1-A11 | T1-A12
FP-0049,T1,SmPolicyDecision,SmPolicyDecision.pccRules.refCondData,DIRECT,T1-R01 | T1-R04 | T1-R06 | T1-R12,T1-A11 | T1-A12 | T1-A28 | T1-A29
FP-0050,T1,SmPolicyDecision,SmPolicyDecision.pccRules.refQosMon,DIRECT,T1-R01 | T1-R04 | T1-R12,T1-A11 | T1-A12
FP-0051,T1,SmPolicyDecision,SmPolicyDecision.pccRules.addrPreserInd,DIRECT,T1-R01 | T1-R04 | T1-R12,T1-A11 | T1-A12
FP-0052,T1,SmPolicyDecision,SmPolicyDecision.pccRules.tscaiInputDl.periodicity,DIRECT,T1-R01 | T1-R04 | T1-R12,T1-A11 | T1-A12
FP-0053,T1,SmPolicyDecision,SmPolicyDecision.pccRules.tscaiInputDl.burstArrivalTime,DIRECT,T1-R01 | T1-R04 | T1-R12,T1-A11 | T1-A12
FP-0054,T1,SmPolicyDecision,SmPolicyDecision.pccRules.tscaiInputDl.surTimeInNumMsg,DIRECT,T1-R01 | T1-R04 | T1-R12,T1-A11 | T1-A12
FP-0055,T1,SmPolicyDecision,SmPolicyDecision.pccRules.tscaiInputDl.surTimeInTime,DIRECT,T1-R01 | T1-R04 | T1-R12,T1-A11 | T1-A12
FP-0056,T1,SmPolicyDecision,SmPolicyDecision.pccRules.tscaiInputUl.periodicity,DIRECT,T1-R01 | T1-R04 | T1-R12,T1-A11 | T1-A12
FP-0057,T1,SmPolicyDecision,SmPolicyDecision.pccRules.tscaiInputUl.burstArrivalTime,DIRECT,T1-R01 | T1-R04 | T1-R12,T1-A11 | T1-A12
FP-0058,T1,SmPolicyDecision,SmPolicyDecision.pccRules.tscaiInputUl.surTimeInNumMsg,DIRECT,T1-R01 | T1-R04 | T1-R12,T1-A11 | T1-A12
FP-0059,T1,SmPolicyDecision,SmPolicyDecision.pccRules.tscaiInputUl.surTimeInTime,DIRECT,T1-R01 | T1-R04 | T1-R12,T1-A11 | T1-A12
FP-0060,T1,SmPolicyDecision,SmPolicyDecision.pccRules.tscaiTimeDom,DIRECT,T1-R01 | T1-R04 | T1-R12,T1-A11 | T1-A12
FP-0061,T1,SmPolicyDecision,SmPolicyDecision.pccRules.ddNotifCtrl.notifCtrlInds,DIRECT,T1-R01 | T1-R04 | T1-R12,T1-A11 | T1-A12
FP-0062,T1,SmPolicyDecision,SmPolicyDecision.pccRules.ddNotifCtrl.typesOfNotif,DIRECT,T1-R01 | T1-R04 | T1-R12,T1-A11 | T1-A12
FP-0063,T1,SmPolicyDecision,SmPolicyDecision.pccRules.ddNotifCtrl2.notifCtrlInds,DIRECT,T1-R01 | T1-R04 | T1-R12,T1-A11 | T1-A12
FP-0064,T1,SmPolicyDecision,SmPolicyDecision.pccRules.ddNotifCtrl2.typesOfNotif,DIRECT,T1-R01 | T1-R04 | T1-R12,T1-A11 | T1-A12
FP-0065,T1,SmPolicyDecision,SmPolicyDecision.pccRules.disUeNotif,DIRECT,T1-R01 | T1-R04 | T1-R12,T1-A11 | T1-A12
FP-0066,T1,SmPolicyDecision,SmPolicyDecision.pccRules.packFiltAllPrec,DIRECT,T1-R01 | T1-R04 | T1-R05 | T1-R12,T1-A09 | T1-A11 | T1-A12
FP-0068,T1,SmPolicyDecision,SmPolicyDecision.qosDecs.qosId,DEPLOYMENT,T1-R01 | T1-R02 | T1-R09,T1-A01 | T1-A02
FP-0069,T1,SmPolicyDecision,SmPolicyDecision.qosDecs.5qi,DEPLOYMENT,T1-R02 | T1-R09,T1-A02 | T1-A26
FP-0070,T1,SmPolicyDecision,SmPolicyDecision.qosDecs.maxbrUl,DEPLOYMENT,T1-R02 | T1-R09,T1-A02 | T1-A27
FP-0071,T1,SmPolicyDecision,SmPolicyDecision.qosDecs.maxbrDl,DEPLOYMENT,T1-R02 | T1-R09,T1-A02 | T1-A27
FP-0072,T1,SmPolicyDecision,SmPolicyDecision.qosDecs.gbrUl,DEPLOYMENT,T1-R02 | T1-R09,T1-A02 | T1-A27
FP-0073,T1,SmPolicyDecision,SmPolicyDecision.qosDecs.gbrDl,DEPLOYMENT,T1-R02 | T1-R09,T1-A02 | T1-A27
FP-0074,T1,SmPolicyDecision,SmPolicyDecision.qosDecs.arp.priorityLevel,DEPLOYMENT,T1-R02 | T1-R09,T1-A02
FP-0075,T1,SmPolicyDecision,SmPolicyDecision.qosDecs.arp.preemptCap,DEPLOYMENT,T1-R02 | T1-R09,T1-A02
FP-0076,T1,SmPolicyDecision,SmPolicyDecision.qosDecs.arp.preemptVuln,DEPLOYMENT,T1-R02 | T1-R09,T1-A02
FP-0077,T1,SmPolicyDecision,SmPolicyDecision.qosDecs.qnc,DEPLOYMENT,T1-R02 | T1-R09,T1-A02
FP-0078,T1,SmPolicyDecision,SmPolicyDecision.qosDecs.priorityLevel,DEPLOYMENT,T1-R02 | T1-R09,T1-A02 | T1-A27
FP-0079,T1,SmPolicyDecision,SmPolicyDecision.qosDecs.averWindow,DEPLOYMENT,T1-R02 | T1-R09,T1-A02 | T1-A27
